Material_UID_64,UDInt,470,
Material_UID_65,UDInt,474,
Material_UID_66,UDInt,478,
Material_UID_67,UDInt,482,
Material_UID_68,UDInt,486,
Material_UID_69,UDInt,490,
Material_UID_70,UDInt,494,
Material_UID_71,UDInt,498,
Material_UID_72,UDInt,502,
Material_UID_73,UDInt,506,
Material_UID_74,UDInt,510,
Material_UID_75,UDInt,514,
Material_UID_76,UDInt,518,
Material_UID_77,UDInt,522,
Material_UID_78,UDInt,526,
Material_UID_79,UDInt,530,
Material_UID_80,UDInt,534,
Material_UID_81,UDInt,538,
Material_UID_82,UDInt,542,
Material_UID_83,UDInt,546,
Material_UID_84,UDInt,550,
Material_UID_85,UDInt,554,
Material_UID_86,UDInt,558,
Material_UID_87,UDInt,562,
Material_UID_88,UDInt,566,
Material_UID_89,UDInt,570,
Material_UID_90,UDInt,574,
Material_UID_91,UDInt,578,
Material_UID_92,UDInt,582,
Material_UID_93,UDInt,586,
Material_UID_94,UDInt,590,
Material_UID_95,UDInt,594,
Material_UID_96,UDInt,598,
Material_UID_97,UDInt,602,
Material_UID_98,UDInt,606,
Material_UID_99,UDInt,610,
Material_For_view_UID,UDInt,614,
Material_For_view_ID,String[20],618,
Material_For_view_Catergory,String[20],640,
Job_ID,String[20],662,
