name,offset,type,alias,gain ,unit
129_ACC2_actual_position,512,Real,,,
130_ACC2_contents,516,Real,,,
131_TUP2_Tension_control_mode,520,Real,,,
132_TUP2_motor_load,524,Real,,,
133_TUP2_traverse_feed,528,Real,,,
135_TUP2_traverse_position,532,Real,,,
136_TUP1_Tension_control_mode,536,Real,,,
137_TUP1_motor_load,540,Real,,,
138_TUP1_dancer_pressure,544,Real,,,
139_TUP1_traverse_feed,548,Real,,,
141_TUP1_traverse_position,552,Real,,,
142_Active_Take-up,556,Real,,,
143_POF1_preselection,560,Real,,,
144_POF1_control_mode,564,Real,,,
145_POF1_set_motor_load,568,Real,,,
146_POF1_Actual_motor_load,572,Real,,,
147_POF1_dancer_pressure,576,Real,,,
148_CAP1_preselection,580,Real,,,
149_CAP1_control_mode,584,Real,,,
150_CAP1_set_motor_load,588,Real,,,
151_CAP1_actual_motor_load,592,Real,,,
152_POF2_preselection,596,Real,,,
153_POF2_Actual_motor_load,600,Real,,,
154_POF2_set_dancer_pressure,604,Real,,,
155_POF2_actual_dancer_pressure,608,Real,,,
156_POF3_preselection,612,Real,,,
157_POF3_Actual_motor_load,616,Real,,,
158_POF3_set_dancer_pressure,620,Real,,,
159_POF3_actual_dancer_pressure,624,Real,,,
160_MBD1_voltage_L1,628,Real,,,
161_MBD1_voltage_L2,632,Real,,,
162_MBD1_voltage_L3,636,Real,,,
163_MBD1_min._voltage_L1,640,Real,,,
164_MBD1_min._voltage_L2,644,Real,,,
165_MBD1_min._voltage_L3,648,Real,,,
166_MBD1_max._voltage_L1,652,Real,,,
167_MBD1_max._voltage_L2,656,Real,,,
168_MBD1_max._voltage_L3,660,Real,,,
169_MBD1_current_L1,664,Real,,,
170_MBD1_current_L2,668,Real,,,
171_MBD1_current_L3,672,Real,,,
172_MBD1_min._current_L1,676,Real,,,
173_MBD1_min._current_L2,680,Real,,,
174_MBD1_min._current_L3,684,Real,,,
175_MBD1_max._current_L1,688,Real,,,
176_MBD1_max._current_L2,692,Real,,,
